Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
133,J.D. McKissic,DET,189.3667988,1.532537281,0.429658703,26,rb,16,3,42,34,0.81,233,6.9,1,7,26,5.5,2.1,14.6,0,221,50,63,
134,Latavius Murray,NOR,184.3472805,1.317653231,0.678149911,29,RB,16,8,43,34,0.79,235,6.9,1,9,30,5.5,2.1,14.7,0,104,123,30,
135,Steven Sims,WAS,241.2556591,2.24207064,0.672790645,22,wr,16,2,56,34,0.61,310,9.1,4,18,65,5.5,2.1,19.4,1,159,76,61,
136,Damiere Byrd,ARI,322.3539557,1.619639087,0.58527999,26,wr,11,3,46,32,0.7,359,11.2,1,16,58,7.8,2.9,32.6,1,249,40,94,
137,T.J. Hockenson,DET,316.2972057,1.841328062,0.475600036,22,te,12,7,59,32,0.54,367,11.5,2,19,39,6.2,2.7,30.6,0,222,49,32,
138,Allen Hurns,MIA,333.2590231,1.880408153,0.59682314,28,wr,14,7,47,32,0.68,416,13,2,18,27,8.9,2.3,29.7,1,212,52,83,
139,Demarcus Robinson,KAN,339.0710126,2.339505971,0.504953544,25,WR,16,10,55,32,0.58,449,14,4,19,44,8.2,2,28.1,0,174,69,67,
140,Preston Williams,MIA,441.0910357,2.111178425,0.858487893,22,wr,8,7,60,32,0.53,428,13.4,3,24,35,7.1,4,53.5,2,189,59,75,
141,Nick Boyle,BAL,251.0924057,1.781071925,0.405477114,26,TE,16,15,43,31,0.72,321,10.4,2,13,35,7.5,1.9,20.1,0,236,44,38,
142,Eric Ebron,IND,334.0563907,2.038646928,0.500182791,26,te,11,2,52,31,0.6,375,12.1,3,20,48,7.2,2.8,34.1,0,197,56,23,
